publisher,app_name,title,url,release_date,tags,discount_price,reviews_url,specs,price,early_access,id,developer,sentiment,metascore,year,genres_Adventure,genres_Casual,genres_Early Access,genres_Free to Play,genres_Indie,genres_Massively Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,genres_Video Production
"CINEMAX, s.r.o.",Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,http://store.steampowered.com/app/2520/Gumboy__Crazy_Adventures/,2006-12-19,"['Casual', 'Indie', 'Singleplayer']",,http://steamcommunity.com/app/2520/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,2520,"CINEMAX, s.r.o.",Mixed,69.0,2006.0,False,False,False,False,True,False,False,False,False,False,False,False
Strategy First,Ghost Master®,Ghost Master®,http://store.steampowered.com/app/6200/Ghost_Master/,2003-08-23,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",,http://steamcommunity.com/app/6200/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,6200,Sick Puppies,Very Positive,81.0,2003.0,False,False,False,False,False,False,False,False,False,False,True,False
Funcom,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,http://store.steampowered.com/app/6300/Dreamfall_The_Longest_Journey/,2006-04-17,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",,http://steamcommunity.com/app/6300/reviews/?browsefilter=mostrecent&p=1,['Single-player'],19.99,False,6300,Funcom,Very Positive,75.0,2006.0,True,False,False,False,False,False,False,False,False,False,False,False
Funcom,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,http://store.steampowered.com/app/6300/Dreamfall_The_Longest_Journey/,2006-04-17,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",,http://steamcommunity.com/app/6300/reviews/?browsefilter=mostrecent&p=1,['Single-player'],19.99,False,6300,Funcom,Very Positive,75.0,2006.0,False,False,False,False,False,False,True,False,False,False,False,False
Strategy First,FlatOut 2™,FlatOut 2™,http://store.steampowered.com/app/2990/FlatOut_2/,2006-08-01,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",,http://steamcommunity.com/app/2990/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,2990,Bugbear Entertainment,Very Positive,76.0,2006.0,False,False,False,False,False,False,False,True,False,False,False,False
Strategy First,FlatOut,FlatOut,http://store.steampowered.com/app/6220/FlatOut/,2005-07-12,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",,http://steamcommunity.com/app/6220/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",7.49,False,6220,Bugbear Entertainment,Very Positive,72.0,2005.0,False,False,False,False,False,False,False,True,False,False,False,False
Capcom,Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,http://store.steampowered.com/app/6510/Lost_Planet_Extreme_Condition/,2007-06-26,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",,http://steamcommunity.com/app/6510/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,False,6510,"CAPCOM Co., Ltd.",Mostly Positive,66.0,2007.0,False,False,False,False,False,False,False,False,False,False,False,False
Capcom,Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,http://store.steampowered.com/app/6510/Lost_Planet_Extreme_Condition/,2007-06-26,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",,http://steamcommunity.com/app/6510/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,False,6510,"CAPCOM Co., Ltd.",Mostly Positive,66.0,2007.0,True,False,False,False,False,False,False,False,False,False,False,False
2K Games,CivCity: Rome,CivCity: Rome,http://store.steampowered.com/app/3980/CivCity_Rome/,2006-07-24,"['Strategy', 'City Builder', 'Simulation', 'Rome']",,http://steamcommunity.com/app/3980/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,3980,"FireFly Studios,Firaxis Games",Mostly Positive,67.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
Arkane Studios,Arx Fatalis,Arx Fatalis,http://store.steampowered.com/app/1700/Arx_Fatalis/,2002-11-12,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",,http://steamcommunity.com/app/1700/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,1700,Arkane Studios,Very Positive,77.0,2002.0,False,False,False,False,False,False,True,False,False,False,False,False
Funcom,The Longest Journey,The Longest Journey,http://store.steampowered.com/app/6310/The_Longest_Journey/,2000-11-17,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",,http://steamcommunity.com/app/6310/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,6310,Funcom,Very Positive,91.0,2000.0,False,False,False,False,False,False,False,False,False,False,False,False
Funcom,The Longest Journey,The Longest Journey,http://store.steampowered.com/app/6310/The_Longest_Journey/,2000-11-17,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",,http://steamcommunity.com/app/6310/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,6310,Funcom,Very Positive,91.0,2000.0,True,False,False,False,False,False,False,False,False,False,False,False
Funcom,The Longest Journey,The Longest Journey,http://store.steampowered.com/app/6310/The_Longest_Journey/,2000-11-17,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",,http://steamcommunity.com/app/6310/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,6310,Funcom,Very Positive,91.0,2000.0,False,False,False,False,False,False,True,False,False,False,False,False
2K Games,Civilization IV®: Warlords,Civilization IV®: Warlords,http://store.steampowered.com/app/3990/Civilization_IV_Warlords/,2006-07-24,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",,http://steamcommunity.com/app/3990/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,3990,Firaxis Games,Very Positive,84.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
2K Games,Railroad Tycoon 3,Railroad Tycoon 3,http://store.steampowered.com/app/7610/Railroad_Tycoon_3/,2003-10-23,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",,http://steamcommunity.com/app/7610/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,False,7610,PopTop,Mostly Positive,80.0,2003.0,False,False,False,False,False,False,False,False,False,False,True,False
"2K Games, Feral Interactive (Mac)",Sid Meier's Railroads!,Sid Meier's Railroads!,http://store.steampowered.com/app/7600/Sid_Meiers_Railroads/,2006-10-16,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",,http://steamcommunity.com/app/7600/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,False,7600,"Firaxis Games,Feral Interactive (Mac)",Mixed,77.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
2K Games,Railroad Tycoon II Platinum,Railroad Tycoon II Platinum,http://store.steampowered.com/app/7620/Railroad_Tycoon_II_Platinum/,1998-10-31,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",,http://steamcommunity.com/app/7620/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,7620,PopTop,Very Positive,89.0,1998.0,False,False,False,False,False,False,False,False,False,False,True,False
"Square Enix, Feral Interactive (Mac)",Tomb Raider: Anniversary,Tomb Raider: Anniversary,http://store.steampowered.com/app/8000/Tomb_Raider_Anniversary/,2007-06-05,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",,http://steamcommunity.com/app/8000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",8.99,False,8000,"Crystal Dynamics,Feral Interactive (Mac)",Very Positive,83.0,2007.0,False,False,False,False,False,False,False,False,False,False,False,False
"Square Enix, Feral Interactive (Mac)",Tomb Raider: Anniversary,Tomb Raider: Anniversary,http://store.steampowered.com/app/8000/Tomb_Raider_Anniversary/,2007-06-05,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",,http://steamcommunity.com/app/8000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",8.99,False,8000,"Crystal Dynamics,Feral Interactive (Mac)",Very Positive,83.0,2007.0,True,False,False,False,False,False,False,False,False,False,False,False
Capcom,Devil May Cry® 3 Special Edition,Devil May Cry® 3 Special Edition,http://store.steampowered.com/app/6550/Devil_May_Cry_3_Special_Edition/,2006-05-23,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",,http://steamcommunity.com/app/6550/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",19.99,False,6550,"CAPCOM Co., Ltd.",Mixed,66.0,2006.0,False,False,False,False,False,False,False,False,False,False,False,False
id Software,DOOM II,DOOM II,http://store.steampowered.com/app/2300/DOOM_II/,1994-05-05,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",,http://steamcommunity.com/app/2300/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,2300,id Software,Very Positive,83.0,1994.0,False,False,False,False,False,False,False,False,False,False,False,False
id Software,Return to Castle Wolfenstein,Return to Castle Wolfenstein,http://store.steampowered.com/app/9010/Return_to_Castle_Wolfenstein/,2001-11-20,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",,http://steamcommunity.com/app/9010/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,9010,Gray Matter Studios,Very Positive,88.0,2001.0,False,False,False,False,False,False,False,False,False,False,False,False
Majesco,BloodRayne,BloodRayne,http://store.steampowered.com/app/3810/,2003-09-09,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",,http://steamcommunity.com/app/3810/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Trading Cards']",9.99,False,3810,Terminal Reality,Mostly Positive,65.0,2003.0,False,False,False,False,False,False,False,False,False,False,False,False
id Software,QUAKE,QUAKE,http://store.steampowered.com/app/2310/QUAKE/,2007-05-31,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",,http://steamcommunity.com/app/2310/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,False,2310,id Software,Overwhelmingly Positive,94.0,2007.0,False,False,False,False,False,False,False,False,False,False,False,False
THQ Nordic,Genesis Rising,Genesis Rising,http://store.steampowered.com/app/3230/Genesis_Rising/,2007-03-20,"['Strategy', 'Space', 'Sci-fi', 'RTS']",,http://steamcommunity.com/app/3230/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",4.99,False,3230,Metamorf,Mostly Negative,57.0,2007.0,False,False,False,False,False,False,False,False,False,False,True,False
2K Games,BioShock™,BioShock™,http://store.steampowered.com/app/7670/BioShock/,2007-08-21,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",,http://steamcommunity.com/app/7670/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",19.99,False,7670,"2K Boston,2K Australia",Very Positive,96.0,2007.0,False,False,False,False,False,False,False,False,False,False,False,False
2K Games,BioShock™,BioShock™,http://store.steampowered.com/app/7670/BioShock/,2007-08-21,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",,http://steamcommunity.com/app/7670/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",19.99,False,7670,"2K Boston,2K Australia",Very Positive,96.0,2007.0,False,False,False,False,False,False,True,False,False,False,False,False
SEGA,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Warhammer® 40,000: Dawn of War® - Game of the Year Edition",http://store.steampowered.com/app/4570/Warhammer_40000_Dawn_of_War__Game_of_the_Year_Edition/,2006-01-01,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",,http://steamcommunity.com/app/4570/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,False,4570,Relic Entertainment,Overwhelmingly Positive,86.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
SEGA,"Warhammer® 40,000: Dawn of War® - Dark Crusade","Warhammer® 40,000: Dawn of War® - Dark Crusade",http://store.steampowered.com/app/4580/Warhammer_40000_Dawn_of_War__Dark_Crusade/,2006-10-09,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",,http://steamcommunity.com/app/4580/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Cloud']",12.99,False,4580,Relic Entertainment,Overwhelmingly Positive,87.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
SEGA,Rome: Total War™ - Collection,Rome: Total War™ - Collection,http://store.steampowered.com/app/4760/Rome_Total_War__Collection/,2004-09-22,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",,http://steamcommunity.com/app/4760/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,False,4760,The Creative Assembly,Very Positive,92.0,2004.0,False,False,False,False,False,False,False,False,False,False,True,False
SEGA,Rome: Total War™ - Alexander,Rome: Total War™ - Alexander,http://store.steampowered.com/app/4770/Rome_Total_War__Alexander/,2006-06-26,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",,http://steamcommunity.com/app/4770/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",4.99,False,4770,The Creative Assembly,Mostly Positive,79.0,2006.0,False,False,False,False,False,False,False,False,False,False,True,False
Rockstar Games,Manhunt,Manhunt,http://store.steampowered.com/app/12130/Manhunt/,2004-04-20,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",,http://steamcommunity.com/app/12130/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,12130,Rockstar North,Mixed,75.0,2004.0,False,False,False,False,False,False,False,False,False,False,False,False
Rockstar Games,Midnight Club 2,Midnight Club 2,http://store.steampowered.com/app/12160/Midnight_Club_2/,2003-07-01,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",,http://steamcommunity.com/app/12160/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,False,12160,Rockstar San Diego,Very Positive,81.0,2003.0,False,False,False,False,False,False,False,True,False,False,False,False
Rockstar Games,Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,http://store.steampowered.com/app/12150/Max_Payne_2_The_Fall_of_Max_Payne/,2003-10-14,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",,http://steamcommunity.com/app/12150/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,12150,Remedy Entertainment,Very Positive,86.0,2003.0,False,False,False,False,False,False,False,False,False,False,False,False
Square Enix,Tomb Raider: Legend,Tomb Raider: Legend,http://store.steampowered.com/app/7000/,2006-04-07,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",,http://steamcommunity.com/app/7000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",6.99,False,7000,Crystal Dynamics,Very Positive,82.0,2006.0,False,False,False,False,False,False,False,False,False,False,False,False
Square Enix,Tomb Raider: Legend,Tomb Raider: Legend,http://store.steampowered.com/app/7000/,2006-04-07,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",,http://steamcommunity.com/app/7000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",6.99,False,7000,Crystal Dynamics,Very Positive,82.0,2006.0,True,False,False,False,False,False,False,False,False,False,False,False
Rockstar Games,Max Payne,Max Payne,http://store.steampowered.com/app/12140/Max_Payne/,2001-07-25,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",,http://steamcommunity.com/app/12140/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,12140,Remedy Entertainment,Very Positive,89.0,2001.0,False,False,False,False,False,False,False,False,False,False,False,False
